No.overall,Directed by,No. inseason,Original air date,Prod.code,Title,U.S. viewers(millions),Written and storyboarded by
151,Joe Johnston (supervising)Liz Artinian (art),23,"July 6, 2018",,"""Reunited (Part 1)""",0.97,"Miki Brewster, Jeff Liu, Katie Mitroff and Paul Villeco"
152,Joe Johnston and Liz Artinian,24,"July 6, 2018",,"""Reunited (Part 2)""",0.97,"Miki Brewster, Jeff Liu, Katie Mitroff, and Paul Villeco"
153,Kat Morris (supervising)Liz Artinian (art),25,"December 17, 2018[nb 18]",,"""Legs from Here to Homeworld""",0.63,"Amber Cragg, Hilary Florido, and Tom Herpich"
154,Kat Morris (supervising)Liz Artinian (art),26,"December 24, 2018",,"""Familiar""",0.74,"Amber Cragg, Hilary Florido, Tom Herpich, and Pen Ward"
155,Kat Morris (supervising)Liz Artinian (art),27,"December 31, 2018",,"""Together Alone""",0.65,"Lamar Abrams, Christine Liu, and Tom Herpich"
156,Joe Johnston (supervising)Liz Artinian (art),28,"January 7, 2019",,"""Escapism""",0.67,Joe Johnston and Adam Muto
157,Joe Johnston and Kat Morris (supervising)Liz Artinian (art),29,"January 21, 2019",,"""Change Your Mind (Part 1)""",0.99,"Lamar Abrams, Miki Brewster, Amber Cragg, Hilary Florido, Joe Johnston, Ian Jones-Quartey, Christine Liu, Jeff Liu, Katie Mitroff, Kat Morris, Rebecca Sugar, and Paul Villeco"
158,"Joe Johnston, Kat Morris, and Liz Artinian",30,"January 21, 2019",,"""Change Your Mind (Part 2)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
159,"Joe Johnston, Kat Morris, and Liz Artinian",31,"January 21, 2019",,"""Change Your Mind (Part 3)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
160,"Joe Johnston, Kat Morris, and Liz Artinian",32,"January 21, 2019",,"""Change Your Mind (Part 4)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
