,No.overall,Directed by,No. inseason,date,Prod.code,episode,Viewers_millions,Written and storyboarded by
64,65,Jasmin Lai (art),12,2015-07-15,1031-067,"""Onion Friend""",1.83,Lamar Abrams and Katie Mitroff
65,66,Jasmin Lai (art),13,2015-07-16,1031-066,"""Historical Friction""",1.88,Hilary Florido and Jesse Zuke
66,67,Jasmin Lai (art),14,2015-07-17,1031-068,"""Friend Ship""",1.65,Joe Johnston and Jeff Liu
67,68,Jasmin Lai (art),15,2015-09-10,1031-069,"""Nightmare Hospital""",1.39,Raven M. Molisee and Paul Villeco
68,69,Kat Morris (supervising)Jasmin Lai (art),16,2015-09-17,1031-073,"""Sadie's Song""",1.5,Raven M. Molisee and Paul Villeco
69,70,Kat Morris (supervising)Jasmin Lai (art),17,2015-09-24,1031-070,"""Catch and Release""",1.39,Hilary Florido and Jesse Zuke
70,71,Joe Johnston (supervising)Jasmin Lai (art),18,2015-10-01,1031-071,"""When It Rains""",1.36,Lamar Abrams and Katie Mitroff
71,72,Joe Johnston (supervising)Jasmin Lai (art),19,2015-10-08,1031-072,"""Back to the Barn""",1.59,Joe Johnston and Jeff Liu
72,73,Kat Morris (supervising)Jasmin Lai (art),20,2015-10-15,1031-074,"""Too Far""",1.39,Hilary Florido and Jesse Zuke
73,74,Joe Johnston (supervising)Jasmin Lai (art),21,2016-01-04,1031-075,"""The Answer""",1.38,Lamar Abrams and Katie Mitroff
74,75,Joe Johnston (supervising)Jasmin Lai (art),22,2016-01-05,1031-079,"""Steven's Birthday""",1.35,Lamar Abrams and Katie Mitroff
75,76,Joe Johnston (supervising)Jasmin Lai (art),23,2016-01-06,1031-076,"""It Could've Been Great""",1.45,Joe Johnston and Jeff Liu
76,77,Kat Morris (supervising)Jasmin Lai (art),24,2016-01-07,1031-077,"""Message Received""",1.39,Raven M. Molisee and Paul Villeco
77,78,Kat Morris (supervising)Jasmin Lai (art),25,2016-01-08,1031-078,"""Log Date 7 15 2""",1.34,Hilary Florido and Jesse Zuke
